COURSES.Course_Number,COURSES.Course_Name
991,1st Semester Lunch
992,2nd Semester Lunch
999,Lunch
981,1st Semester Lunch 1 - 6
982,1st Semester Lunch 1-6
983,2nd Semester Lunch 1-6
984,2nd Semester Lunch 1-6
FREE,FREE
718,Introduction to Business and Finance
719,Personal Finance
810,Music Theory / Improvisation Seminar
856,Independent Advanced Chorus
887,Advanced Ceramics 2
893,Advanced Sculpture 2
896,Art Portfolio 2
1024,Networking Essentials
1025,Introduction to Cyber Security
1026,Cloud Fundamentals
1051,Intro to Digital Design Online
1052,Multimedia Journalism
1093,Advanced Engineering Design
1100,Group Advisory 10
1101,Glaser Student Center Supervision
1102,Library Supervision
1103,Flex Duty
1104,Writing Center NHS Tutoring
1105,Group Advisory 9
1106,Open Gym
1107,Help Desk
1108,Library Manager
1171,College Counseling Seminar 11
1198,Guiding their Path to Success
HR,Freshman Homeroom
995,9th Grade Lunch
1199,Study Hall
926,Phys Ed 2
927,Phys Ed 2
928,Phys Ed 2
100,Religion 9
101,Growing In Christ
103,Understanding Christ
105,Religion 10
106,Religion 11
110,Religion 12
114,Christian Life Styles
130,Prayer
150,World Religions
160,Lasallian Spirituality/Service
202,Algebra 1
203,Integrated Algebra 1 and Geometry
204,Algebra 1 Y
205,Algebra 1 Honors
206,Integrated Algebra 1 and 2
207,Integrated Algebra 2 and Geometry
208,Algebra 2
213,Algebra 2 Honors
215,Geometry Y
216,Geometry
217,Geometry Summer
220,Geometry/Precalculus Honors
221,Algebra 2 Y
223,Algebra 3/Trigonometry
225,Precalculus
229,AP Statistics
230,Calculus
232,AP Calculus AB
234,AP Calculus BC
236,Calculus 3 Honors
237,Network Management
245,Advanced C.A.D.
247,Web Site Management
250,Precalculus Honors
252,Calculus Honors
254,AP Calculus AB
256,AP Calculus BC
258,Calculus 3 H
310,Intro To Literature & Comp
312,Intro To Literature & Comp Y
314,Intro To Lit & Comp Honors
320,American Lit & Comp
322,American Lit & Comp Honors
330,Rhetoric & British Literature
335,AP English Language & Comp
340,World Literature/ Expos. Writ.
345,AP English Lit. & Comp
350,Creative Writing 1
352,Creative Writing 2
356,Baseball in Literature
360,Poetry
361,American Crime Fiction
365,Shakespeare
370,Harlem Reniassance
375,Classic & Renaissance Lit
376,African American Literature
380,Public Speaking
382,Advanced Public Speaking
402,Spanish 1
404,Spanish 2
407,Spanish 2 Honors
408,Spanish 3
411,Spanish 3 Honors
412,Spanish 4
413,Spanish 4 Honors
414,AP Spanish
416,Spanish 5 Honors
420,French 1
422,French 2
426,French 3
427,French 3 Honors
428,French 4
430,French 4 Honors
432,AP French
434,French 5 Honors
470,Italian 1
471,Italian 2
472,Italian 3
473,Italian 3 Honors
475,Italian 4 Honors
476,Italian 2 Honors
480,Latin 1
483,Latin 2
484,Latin 2 Honors
485,Latin 3
486,Latin 3 Honors
487,AP Latin
488,Latin 4
489,Latin 4 Honors
491,Chinese 1
492,Chinese 2
493,Chinese 3
494,Chinese 4
495,Chinese 4 Honors
496,Chinese 5 Honors
497,AP Chinese
501,Integrated Science
505,Biology Honors
506,Biology
510,Chemistry
511,Chemistry Honors
512,AP Chemistry
514,Physics
517,AP Physics B
518,AP Physics C
520,AP Physics 1
521,AP Physics 2
