CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerSchoolID
506,9,3300,"8-9(B,D,F)",902
880,2,3301,"6-7(A,C,E,G)",902
983,51,3302,"10(A,C,E,G)",902
984,51,3302,"10(B,D,F,H)",902
105,13,3300,"12-13(B,D,F,H)",902
1121,4,3302,4-5(B),902
320,12,3300,"8-9(A,C,E,G)",902
404,4,3300,"12-13(A,C,E,G)",902
506L,9,3300,8-9(H),902
981,51,3301,"10(A,C,E,G)",902
982,52,3301,"11(B,D,F,H)",902
605,6,3300,"2-3(B,D,F,H)",902
Soph HR,1,3300,1(A-H),902
215,1,3300,"2-3(A,C,E,G)",902
718,2,3302,"4-5(A,C,E,G)",902
1120,6,3301,6-7(H),902
926,1,3300,"14(A,C,E,G)",902
105,9,3300,"6-7(B,D,F,H)",903
1120,8,3301,8-9(B),903
1121,5,3302,6-7(G),903
208,5,3300,"12-13(A,C,E,G)",903
320,12,3300,"8-9(A,C,E,G)",903
483,1,3300,"2-3(A,C,E,G)",903
506,16,3300,"12-13(B,D,H)",903
506L,16,3300,12-13(F),903
981,31,3301,"6(A,C,E,G)",903
984,22,3302,"5(B,D,F,H)",903
605,2,3300,"4-5(A,C,E,G)",903
982,52,3301,"11(B,D,F,H)",903
983,51,3302,"10(A,C,E,G)",903
880,4,3301,"4-5(B,D,F,H)",903
Soph HR,2,3300,1(A-H),903
926,1,3300,"14(A,C,E,G)",903
1050,4,3302,"8-9(D,H)",903
1092,4,3302,"6-7(A,C,E,G)",904
208,6,3300,"2-3(B,D,F,H)",904
407,4,3300,"12-13(B,D,F,H)",904
605,4,3300,"10-11(A,C,E,G)",904
981,31,3301,"6(A,C,E,G)",904
984,32,3302,"7(B,D,F,H)",904
105,11,3300,"10-11(B,D,F,H)",904
1120,7,3301,8-9(A),904
1121,11,3302,12-13(A),904
320,7,3300,"4-5(B,D,F,H)",904
511,1,3300,"4-5(A,C,E)",904
511L,1,3300,4-5(G),904
718,5,3301,"2-3(A,C,E,G)",904
982,32,3301,"7(B,D,F,H)",904
983,42,3302,"9(A,C,E,G)",904
Soph HR,3,3300,1(A-H),904
926,1,3300,"14(A,C,E,G)",904
1120,3,3301,4-5(A),905
320,1,3300,"2-3(A,C,E,G)",905
506,11,3300,"6-7(A,C,E)",905
806,2,3300,"14(B,D,F,H)",905
840,1,3300,"8(A-H) 9(A,C,E,G)",905
983,52,3302,"11(A,C,E,G)",905
105,9,3300,"6-7(B,D,F,H)",905
1121,3,3302,4-5(A),905
208,7,3300,"4-5(B,D,F,H)",905
422,1,3300,"10-11(B,D,F,H)",905
506L,11,3300,6-7(G),905
605,10,3300,"12-13(B,D,F,H)",905
820,1,3300,"2-3(B,D,F,H)",905
981,51,3301,"10(A,C,E,G)",905
982,42,3301,"9(B,D,F,H)",905
984,42,3302,"9(B,D,F,H)",905
Soph HR,4,3300,1(A-H),905
