CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerschoolID
110,8,3300,"4-5(B,D,F,H)",51
806,1,3300,"14(A,C,E,G)",51
981,32,3301,"7(A,C,E,G)",51
982,41,3301,"8(B,D,F,H)",51
984,41,3302,"8(B,D,F,H)",51
1175,5,3302,6-7(C),51
1176,9,3301,10-11(C),51
256,1,3300,"10-11(B,D,F,H)",51
345,1,3300,"2-3(A,C,E,G)",51
414,1,3300,"6-7(B,D,F,H)",51
521,2,3300,"8-9(A,C,E,G)",51
522,1,3301,"4-5(A,C,E,G) 6(E,G)",51
523,1,3302,"4-5(A,C,E,G) 6(E,G)",51
729,2,3300,"12-13(A,C,E,G)",51
820,2,3300,"2-3(B,D,F,H)",51
983,51,3302,"10(A,C,E,G)",51
Senior HR,1,3300,1(A-H),51
1093,2,3302,"4-5(A,C,E,G)",59
1175,7,3302,8-9(E),59
225,3,3300,"10-11(A,C,E,G)",59
514,4,3300,"2-3(B,D,F,H)",59
714,1,3301,"8-9(A,C,E,G)",59
981,31,3301,"6(A,C,E,G)",59
983,31,3302,"6(A,C,E,G)",59
110,8,3300,"4-5(B,D,F,H)",59
412,4,3300,"8-9(B,D,F,H)",59
650,3,3300,"10-11(B,D,F,H)",59
982,32,3301,"7(B,D,F,H)",59
984,32,3302,"7(B,D,F,H)",59
1176,3,3301,4-5(E),59
880,5,3301,"12-13(B,D,F,H)",59
340,1,3300,"2-3(A,C,E,G)",59
Senior HR,1,3300,1(A-H),59
345,3,3300,"2-3(B,D,F,H)",61
521,2,3300,"8-9(A,C,E,G)",61
545,1,3300,"2-3(A,C,E,G)",61
981,31,3301,"6(A,C,E,G)",61
983,31,3302,"6(A,C,E,G)",61
110,2,3300,"4-5(A,C,E,G)",61
1176,4,3301,4-5(F),61
254,2,3300,"10-11(A,C,E,G)",61
414,1,3300,"6-7(B,D,F,H)",61
729,4,3300,"10-11(B,D,F,H)",61
982,41,3301,"8(B,D,F,H)",61
1175,4,3302,4-5(F),61
984,41,3302,"8(B,D,F,H)",61
Senior HR,1,3300,1(A-H),61
928,1,3300,"14(A,C,E,G)",61
1175,11,3302,12-13(E),63
1176,6,3301,6-7(D),63
340,8,3300,"12-13(B,D,F,H)",63
545,3,3300,"10-11(B,D,F,H)",63
716,1,3301,"2-4(B,D,F,H)",63
719,10,3302,"8-9(A,C,E,G)",63
728,1,3301,"8-9(A,C,E,G)",63
110,2,3300,"4-5(A,C,E,G)",63
717,1,3302,"2-4(B,D,F,H)",63
982,22,3301,"5(B,D,F,H)",63
984,32,3302,"7(B,D,F,H)",63
252,2,3300,"10-11(A,C,E,G)",63
981,31,3301,"6(A,C,E,G)",63
983,31,3302,"6(A,C,E,G)",63
412,1,3300,"2-3(A,C,E,G)",63
727,3,3302,"8-9(B,D,F,H)",63
Senior HR,1,3300,1(A-H),63
110,6,3300,"12-13(A,C,E,G)",64
710,1,3301,"8-9(A,C,E,G)",64
262,1,3300,"6-7(B,D,F,H)",64
486,1,3300,"2-3(B,D,F,H)",64
982,52,3301,"11(B,D,F,H)",64
984,52,3302,"11(B,D,F,H)",64
1176,8,3301,8-9(F),64
340,8,3300,"12-13(B,D,F,H)",64
727,3,3302,"8-9(B,D,F,H)",64
527,2,3300,"10-11(A,C,E,G)",64
981,31,3301,"6(A,C,E,G)",64
983,31,3302,"6(A,C,E,G)",64
1175,7,3302,8-9(E),64
558,2,3302,"8-9(A,C,E,G)",64
645,1,3301,"4-5(B,D,F,H)",64
540,1,3300,"4-5(A,C,E,G)",64
