CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerSchoolID
984,31,3302,"6(B,D,F,H)",1351
100,10,3300,"8-9(B,D,F,H)",1351
601,7,3300,"4-5(B,D,F,H)",1351
1105,10,3300,10-11(D),1351
202,3,3300,"6-7(A,C,E,G)",1351
310,4,3300,"8-9(A,C,E,G)",1351
506,15,3300,"10-11(A,E,G)",1351
925,10,3300,10-11(H),1351
982,31,3301,"6(B,D,F,H)",1351
1001,1,3300,"2-3(A,C,E,G)",1351
1199,10,3300,"10-11(B,F)",1351
480,2,3300,"2-3(B,D,F,H)",1351
506L,15,3300,10-11(C),1351
981,22,3301,"5(A,C,E,G)",1351
983,22,3302,"5(A,C,E,G)",1351
HR,1,3300,1(A-H),1351
1198,6,3300,"12-13(C,G)",1351
982,31,3301,"6(B,D,F,H)",1352
506,3,3300,"10-11(A,C,E)",1352
601,1,3300,"2-3(A,C,E,G)",1352
820,2,3300,"2-3(B,D,F,H)",1352
981,31,3301,"6(A,C,E,G)",1352
983,31,3302,"6(A,C,E,G)",1352
984,31,3302,"6(B,D,F,H)",1352
100,11,3300,"10-11(B,D,F,H)",1352
1001,7,3300,"8-9(A,C,E,G)",1352
1105,11,3300,12-13(E),1352
1199,11,3300,"12-13(C,G)",1352
202,2,3300,"4-5(A,C,E,G)",1352
314,2,3300,"4-5(B,D,F,H)",1352
402,10,3300,"8-9(B,D,F,H)",1352
506L,3,3300,10-11(G),1352
806,2,3300,"14(B,D,F,H)",1352
925,11,3300,12-13(A),1352
HR,2,3300,1(A-H),1352
1001,4,3300,"4-5(B,D,F,H)",1353
1199,5,3300,"6-7(A,E)",1353
310,9,3300,"6-7(B,D,F,H)",1353
402,10,3300,"8-9(B,D,F,H)",1353
505L,4,3300,12-13(B),1353
855,1,3300,"2-3(A,C,G)",1353
925,5,3300,6-7(G),1353
982,52,3301,"11(B,D,F,H)",1353
984,52,3302,"11(B,D,F,H)",1353
100,4,3300,"8-9(A,C,E,G)",1353
1105,5,3300,6-7(C),1353
205,1,3300,"10-11(A,C,E,G)",1353
505,4,3300,"12-13(D,F,H)",1353
603,2,3300,"12-13(A,C,E,G)",1353
981,22,3301,"5(A,C,E,G)",1353
983,22,3302,"5(A,C,E,G)",1353
HR,4,3300,1(A-H),1353
1105,1,3300,2-3(C),1354
1199,1,3300,"2-3(A,E)",1354
601,3,3300,"8-9(A,C,E,G)",1354
100,2,3300,"4-5(A,C,E,G)",1354
202,9,3300,"8-9(B,D,F,H)",1354
310,10,3300,"12-13(B,D,F,H)",1354
506,3,3300,"10-11(A,C,E)",1354
855,3,3300,"12-13(A,C,E)",1354
981,31,3301,"6(A,C,E,G)",1354
983,31,3302,"6(A,C,E,G)",1354
984,52,3302,"11(B,D,F,H)",1354
1001,2,3300,"2-3(B,D,F,H)",1354
402,8,3300,"4-5(B,D,F,H)",1354
506L,3,3300,10-11(G),1354
925,1,3300,2-3(G),1354
982,51,3301,"10(B,D,F,H)",1354
HR,5,3300,1(A-H),1354
1001,6,3300,"6-7(B,D,F,H)",1355
1199,9,3300,"10-11(A,E)",1355
202,1,3300,"2-3(A,C,E,G)",1355
402,12,3300,"12-13(B,D,F,H)",1355
506L,11,3300,6-7(G),1355
603,2,3300,"12-13(A,C,E,G)",1355
981,22,3301,"5(A,C,E,G)",1355
983,22,3302,"5(A,C,E,G)",1355
100,11,3300,"10-11(B,D,F,H)",1355
1105,9,3300,10-11(C),1355
310,7,3300,"2-3(B,D,F,H)",1355
506,11,3300,"6-7(A,C,E)",1355
925,9,3300,10-11(G),1355
982,22,3301,"5(B,D,F,H)",1355
984,42,3302,"9(B,D,F,H)",1355
HR,6,3300,1(A-H),1355
601,6,3300,"2-3(B,D,F,H)",1356
100,11,3300,"10-11(B,D,F,H)",1356
1001,1,3300,"2-3(A,C,E,G)",1356
1199,6,3300,"6-7(B,F)",1356
310,3,3300,"6-7(A,C,E,G)",1356
402,11,3300,"12-13(B,D,F,H)",1356
506L,2,3300,4-5(G),1356
925,6,3300,6-7(H),1356
981,42,3301,"9(A,C,E,G)",1356
983,42,3302,"9(A,C,E,G)",1356
1105,6,3300,6-7(D),1356
202,4,3300,"10-11(A,C,E,G)",1356
506,2,3300,"4-5(A,C,E)",1356
982,42,3301,"9(B,D,F,H)",1356
984,41,3302,"8(B,D,F,H)",1356
HR,7,3300,1(A-H),1356
1198,6,3300,"12-13(C,G)",1356
1001,1,3300,"2-3(A,C,E,G)",1357
100,3,3300,"6-7(A,C,E,G)",1357
925,6,3300,6-7(H),1357
981,22,3301,"5(A,C,E,G)",1357
402,11,3300,"12-13(B,D,F,H)",1357
506L,15,3300,10-11(C),1357
1199,6,3300,"6-7(B,F)",1357
310,11,3300,"10-11(B,D,F,H)",1357
1105,6,3300,6-7(D),1357
202,6,3300,"2-3(B,D,F,H)",1357
506,15,3300,"10-11(A,E,G)",1357
601,3,3300,"8-9(A,C,E,G)",1357
982,22,3301,"5(B,D,F,H)",1357
983,22,3302,"5(A,C,E,G)",1357
984,42,3302,"9(B,D,F,H)",1357
HR,8,3300,1(A-H),1357
505,3,3300,"12-13(C,E,G)",1358
601,3,3300,"8-9(A,C,E,G)",1358
925,5,3300,6-7(G),1358
981,51,3301,"10(A,C,E,G)",1358
983,52,3302,"11(A,C,E,G)",1358
100,8,3300,"4-5(B,D,F,H)",1358
1001,3,3300,"4-5(A,C,E,G)",1358
1105,5,3300,6-7(C),1358
1199,5,3300,"6-7(A,E)",1358
203,1,3300,"8-9(B,D,F,H)",1358
310,1,3300,"2-3(A,C,E,G)",1358
402,12,3300,"12-13(B,D,F,H)",1358
505L,3,3300,12-13(A),1358
